"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Training_Young","down","246","76",0.05,0,"BH"
"Training_Young","nonsig","1618","1934",0.05,0,"BH"
"Training_Young","up","249","103",0.05,0,"BH"
"Training_Old","down","96","0",0.05,0,"BH"
"Training_Old","nonsig","1923","2124",0.05,0,"BH"
"Training_Old","up","105","0",0.05,0,"BH"
"Aging","down","277","150",0.05,0,"BH"
"Aging","nonsig","1539","1831",0.05,0,"BH"
"Aging","up","299","134",0.05,0,"BH"
"Interaction","down","67","0",0.05,0,"BH"
"Interaction","nonsig","1923","2112",0.05,0,"BH"
"Interaction","up","123","1",0.05,0,"BH"
