pipeline,contrast,method,n_sig,n_up,n_down
Non-imputed,Training_Young,BH_0.05,180,104,76
Non-imputed,Training_Young,BH_0.10,314,158,156
Non-imputed,Training_Young,PiAdj_0.05,40,18,22
Non-imputed,Training_Young,PiAdj_0.10,59,28,31
Non-imputed,Training_Young,PiRaw_0.05,106,44,62
Non-imputed,Training_Young,PiRaw_0.10,166,67,99
Non-imputed,Training_Old,BH_0.05,0,0,0
Non-imputed,Training_Old,BH_0.10,0,0,0
Non-imputed,Training_Old,PiAdj_0.05,1,1,0
Non-imputed,Training_Old,PiAdj_0.10,1,1,0
Non-imputed,Training_Old,PiRaw_0.05,17,8,9
Non-imputed,Training_Old,PiRaw_0.10,28,13,15
Non-imputed,Aging,BH_0.05,284,135,149
Non-imputed,Aging,BH_0.10,402,201,201
Non-imputed,Aging,PiAdj_0.05,98,34,64
Non-imputed,Aging,PiAdj_0.10,152,60,92
Non-imputed,Aging,PiRaw_0.05,199,83,116
Non-imputed,Aging,PiRaw_0.10,265,115,150
Non-imputed,Interaction,BH_0.05,1,1,0
Non-imputed,Interaction,BH_0.10,1,1,0
Non-imputed,Interaction,PiAdj_0.05,1,1,0
Non-imputed,Interaction,PiAdj_0.10,1,1,0
Non-imputed,Interaction,PiRaw_0.05,42,36,6
Non-imputed,Interaction,PiRaw_0.10,74,62,12
Imputed,Training_Young,BH_0.05,286,136,150
Imputed,Training_Young,BH_0.10,431,194,237
Imputed,Training_Young,PiAdj_0.05,46,21,25
Imputed,Training_Young,PiAdj_0.10,82,29,53
Imputed,Training_Young,PiRaw_0.05,121,44,77
Imputed,Training_Young,PiRaw_0.10,185,71,114
Imputed,Training_Old,BH_0.05,4,3,1
Imputed,Training_Old,BH_0.10,4,3,1
Imputed,Training_Old,PiAdj_0.05,0,0,0
Imputed,Training_Old,PiAdj_0.10,1,1,0
Imputed,Training_Old,PiRaw_0.05,17,10,7
Imputed,Training_Old,PiRaw_0.10,30,15,15
Imputed,Aging,BH_0.05,447,203,244
Imputed,Aging,BH_0.10,571,263,308
Imputed,Aging,PiAdj_0.05,174,56,118
Imputed,Aging,PiAdj_0.10,239,90,149
Imputed,Aging,PiRaw_0.05,283,107,176
Imputed,Aging,PiRaw_0.10,357,147,210
Imputed,Interaction,BH_0.05,0,0,0
Imputed,Interaction,BH_0.10,0,0,0
Imputed,Interaction,PiAdj_0.05,0,0,0
Imputed,Interaction,PiAdj_0.10,0,0,0
Imputed,Interaction,PiRaw_0.05,40,37,3
Imputed,Interaction,PiRaw_0.10,67,62,5
